student_id,average_quiz_score,assignment_score,final_exam_score,badges_earned,certified
S4939,98,88,88,0,1
S4940,49,45,47,0,0
S4941,74,64,60,3,1
S4942,93,88,82,1,1
S4943,98,95,98,1,1
S4944,90,86,83,1,1
S4945,43,40,31,0,0
S4946,96,92,83,7,1
S4947,73,67,67,6,1
S4948,40,40,34,0,0
S4949,75,72,57,3,1
S4950,49,41,48,3,0
S4951,56,48,37,2,0
S4952,67,64,52,8,1
S4953,50,40,45,6,0
S4954,100,90,85,0,1
S4955,94,87,84,7,1
S4956,97,92,87,3,1
S4957,60,59,42,6,0
S4958,82,77,74,4,1
S4959,50,49,45,7,0
S4960,65,56,54,8,1
S4961,91,82,79,6,1
S4962,85,81,82,8,1
S4963,63,57,47,7,1
S4964,62,61,60,7,1
S4965,95,90,85,5,1
S4966,44,35,24,0,0
S4967,45,41,44,4,0
S4968,47,37,35,1,0
S4969,80,72,62,4,1
S4970,79,72,72,5,1
S4971,46,43,37,3,0
S4972,79,78,61,1,1
S4973,84,80,69,4,1
S4974,47,43,28,2,0
S4975,80,71,64,1,1
S4976,59,52,54,0,0
S4977,78,76,73,2,1
S4978,63,54,55,0,1
S4979,41,38,27,4,0
S4980,49,48,47,8,0
S4981,47,39,39,7,0
S4982,99,94,82,2,1
S4983,97,89,92,7,1
S4984,56,46,38,7,0
S4985,60,54,59,3,0
S4986,59,57,50,2,0
S4987,44,44,42,6,0
S4988,71,63,70,1,1
S4989,43,41,24,5,0
S4990,77,77,68,2,1
S4991,54,53,53,6,0
S4992,61,51,51,0,1
S4993,92,89,82,1,1
S4994,71,69,70,7,1
S4995,52,44,36,6,0
S4996,96,92,76,8,1
S4997,84,80,66,5,1
S4998,96,92,89,1,1
S4999,68,64,67,1,1
S5000,46,41,33,4,0
S5001,40,38,31,0,0
S5002,89,83,87,2,1
S5003,95,91,76,2,1
S5004,53,44,45,8,0
S5005,85,76,80,1,1
S5006,73,68,54,3,1
S5007,68,63,66,5,1
S5008,91,88,75,0,1
S5009,94,88,92,4,1
S5010,78,70,72,3,1
S5011,57,55,42,3,0
S5012,94,93,83,4,1
S5013,54,50,43,0,0
S5014,97,93,78,6,1
S5015,82,81,72,5,1
S5016,98,95,85,3,1
S5017,69,69,62,8,1
S5018,44,43,33,1,0
S5019,41,34,29,6,0
S5020,89,89,79,6,1
S5021,45,39,45,6,0
S5022,41,37,32,0,0
S5023,87,79,76,5,1
S5024,66,66,50,5,1
S5025,83,74,69,2,1
S5026,55,47,36,1,0
S5027,66,60,47,0,1
S5028,72,69,57,2,1
S5029,64,61,63,6,1
S5030,74,64,72,2,1
S5031,80,71,65,2,1
S5032,53,47,43,8,0
S5033,76,73,74,8,1
S5034,56,54,36,0,0
S5035,53,51,46,0,0
S5036,81,77,68,6,1
S5037,67,63,55,8,1
S5038,62,59,45,4,1
S5039,57,47,56,6,0
S5040,70,61,63,0,1
S5041,97,88,86,1,1
S5042,89,79,81,4,1
S5043,58,50,57,2,0
S5044,42,39,28,2,0
S5045,95,92,81,1,1
S5046,84,74,68,1,1
S5047,93,85,89,4,1
S5048,81,80,71,1,1
S5049,88,79,71,7,1
S5050,50,48,35,2,0
S5051,77,76,60,2,1
S5052,66,66,52,0,1
S5053,67,66,64,4,1
S5054,44,43,25,6,0
S5055,71,69,59,7,1
S5056,96,92,93,7,1
S5057,62,58,59,8,1
S5058,51,46,42,7,0
S5059,75,67,67,1,1
S5060,82,77,82,1,1
S5061,56,51,56,8,0
S5062,92,88,89,3,1
S5063,50,48,49,5,0
S5064,100,93,96,6,1
S5065,48,38,36,4,0
S5066,87,77,82,0,1
S5067,71,65,69,4,1
S5068,90,90,70,2,1
S5069,76,68,57,5,1
S5070,88,88,82,6,1
S5071,55,49,55,3,0
S5072,59,52,46,6,0
S5073,73,71,65,4,1
S5074,45,43,42,8,0
S5075,60,56,46,7,0
S5076,100,98,100,6,1
S5077,52,48,35,3,0
S5078,42,32,33,4,0
S5079,84,74,79,1,1
S5080,58,52,57,2,0
S5081,73,63,60,6,1
S5082,53,52,38,0,0
S5083,56,56,54,5,0
S5084,78,74,70,0,1
S5085,71,61,67,4,1
S5086,65,64,58,2,1
S5087,100,99,93,3,1
S5088,74,69,54,5,1
S5089,81,74,74,5,1
S5090,71,61,63,5,1
S5091,93,88,90,2,1
S5092,78,68,75,7,1
S5093,60,58,51,5,0
S5094,66,60,55,2,1
S5095,78,72,61,1,1
S5096,62,61,48,5,1
S5097,67,60,61,0,1
S5098,83,79,80,2,1
S5099,46,44,28,6,0
S5100,93,88,92,2,1
S5101,73,67,57,7,1
S5102,70,69,69,3,1
S5103,48,39,45,8,0
S5104,41,35,34,7,0
S5105,87,81,81,2,1
S5106,41,32,26,2,0
S5107,53,52,45,4,0
S5108,85,80,68,2,1
S5109,42,39,26,1,0
S5110,75,70,58,5,1
S5111,72,66,64,7,1
S5112,69,59,66,5,1
S5113,58,49,53,3,0
S5114,97,89,89,8,1
S5115,61,61,52,6,1
S5116,40,30,20,3,0
S5117,62,54,46,1,1
S5118,86,86,79,4,1
S5119,96,90,91,7,1
S5120,58,51,53,0,0
S5121,40,34,32,5,0
S5122,90,81,76,6,1
S5123,51,51,49,1,0
S5124,48,41,28,7,0
S5125,41,31,28,1,0
S5126,59,49,54,7,0
S5127,72,68,53,8,1
S5128,60,59,46,4,0
S5129,65,57,53,8,1
S5130,55,47,35,0,0
S5131,100,91,100,2,1
S5132,49,40,30,2,0
S5133,80,74,74,2,1
S5134,92,87,83,1,1
S5135,64,61,44,0,1
S5136,41,37,25,5,0
S5137,57,56,38,5,0
S5138,75,73,73,2,1
S5139,95,88,79,7,1
S5140,40,36,32,3,0
S5141,43,42,28,6,0
S5142,57,48,38,1,0
S5143,91,87,79,4,1
S5144,54,54,50,2,0
S5145,90,81,86,6,1
S5146,43,38,39,3,0
S5147,85,79,69,0,1
S5148,92,84,73,2,1
S5149,72,69,55,3,1
S5150,42,39,41,1,0
S5151,100,96,97,4,1
S5152,56,51,40,2,0
S5153,42,33,36,2,0
S5154,42,32,26,7,0
S5155,48,43,36,2,0
S5156,44,39,38,0,0
S5157,81,79,63,0,1
S5158,67,57,63,8,1
S5159,83,78,67,4,1
S5160,48,44,43,8,0
S5161,93,92,92,8,1
S5162,60,55,41,7,0
S5163,67,67,50,2,1
S5164,52,44,50,2,0
S5165,88,78,77,2,1
S5166,94,93,87,2,1
S5167,46,44,41,7,0
S5168,89,81,74,6,1
S5169,92,92,87,2,1
S5170,96,94,90,3,1
S5171,94,84,78,2,1
S5172,64,60,63,5,1
S5173,80,75,63,0,1
S5174,88,82,68,8,1
S5175,49,48,42,5,0
S5176,95,87,81,6,1
S5177,89,89,75,6,1
S5178,82,82,80,4,1
S5179,67,60,62,5,1
S5180,90,84,83,5,1
S5181,88,86,74,0,1
S5182,88,88,87,7,1
S5183,100,91,86,7,1
S5184,100,100,99,2,1
S5185,99,96,90,8,1
S5186,95,86,80,5,1
S5187,70,69,58,3,1
S5188,95,90,91,2,1
S5189,43,34,33,0,0
S5190,83,75,82,7,1
S5191,76,71,72,0,1
S5192,60,58,41,4,0
S5193,43,33,39,6,0
S5194,72,71,66,7,1
S5195,61,53,49,3,1
S5196,74,71,62,2,1
S5197,83,76,73,2,1
S5198,77,69,77,0,1
S5199,88,84,69,8,1
S5200,73,73,56,8,1
S5201,43,38,37,0,0
S5202,75,65,70,1,1
S5203,69,65,63,8,1
S5204,78,68,60,2,1
S5205,83,75,64,5,1
S5206,41,37,28,8,0
S5207,97,87,81,6,1
S5208,48,46,46,6,0
S5209,53,51,34,3,0
S5210,58,53,53,4,0
S5211,73,73,70,6,1
S5212,49,47,45,0,0
S5213,49,40,42,8,0
S5214,94,90,90,2,1
S5215,70,68,55,3,1
S5216,55,49,51,4,0
S5217,56,55,48,4,0
S5218,70,62,61,4,1
S5219,50,49,50,6,0
S5220,73,68,61,5,1
S5221,61,53,58,0,1
S5222,61,55,52,5,1
S5223,82,82,69,0,1
S5224,68,59,67,1,1
S5225,78,70,75,8,1
S5226,66,61,53,4,1
S5227,93,91,76,2,1
S5228,48,48,46,1,0
S5229,56,51,36,1,0
S5230,86,82,77,5,1
S5231,79,78,72,3,1
S5232,89,79,69,3,1
S5233,75,73,75,6,1
S5234,45,44,44,4,0
S5235,63,62,61,8,1
S5236,90,90,82,8,1
S5237,51,46,48,2,0
S5238,61,53,47,8,1
S5239,54,50,42,7,0
S5240,47,42,29,7,0
S5241,69,60,69,6,1
S5242,61,58,60,7,1
S5243,71,65,69,7,1
S5244,91,88,88,7,1
S5245,88,87,78,4,1
S5246,47,39,35,3,0
S5247,59,56,53,4,0
S5248,49,40,47,0,0
S5249,90,83,70,8,1
S5250,97,89,83,1,1
S5251,50,44,43,2,0
S5252,71,61,51,1,1
S5253,69,66,67,8,1
S5254,54,52,53,8,0
S5255,81,78,76,5,1
S5256,68,64,51,8,1
S5257,72,62,62,7,1
S5258,40,31,32,3,0
S5259,56,50,38,3,0
S5260,79,75,63,7,1
S5261,41,31,38,0,0
S5262,62,60,51,6,1
S5263,66,56,52,8,1
S5264,97,88,92,4,1
S5265,85,81,79,1,1
S5266,60,52,40,2,0
S5267,97,96,92,5,1
S5268,60,60,53,1,0
S5269,89,85,71,5,1
S5270,73,67,72,6,1
S5271,91,86,75,0,1
S5272,86,76,67,6,1
S5273,96,92,90,7,1
S5274,99,99,80,0,1
S5275,78,70,62,4,1
S5276,83,77,73,8,1
S5277,87,80,83,7,1
S5278,63,60,44,5,1
S5279,43,34,40,7,0
S5280,61,55,47,5,1
S5281,46,46,41,8,0
S5282,58,54,38,0,0
S5283,64,61,61,7,1
S5284,97,97,85,2,1
S5285,55,50,38,5,0
S5286,46,43,33,1,0
S5287,85,78,78,1,1
S5288,68,58,52,1,1
S5289,57,53,45,2,0
S5290,87,81,74,5,1
S5291,94,90,83,5,1
S5292,94,92,80,8,1
S5293,76,76,60,7,1
S5294,98,97,96,1,1
S5295,74,66,64,4,1
S5296,77,77,72,6,1
S5297,67,59,53,2,1
S5298,65,56,60,3,1
S5299,93,84,77,6,1
S5300,56,55,47,0,0
S5301,100,93,85,3,1
S5302,55,50,53,7,0
S5303,74,70,69,3,1
S5304,83,78,77,1,1
S5305,55,55,35,2,0
S5306,96,94,96,0,1
S5307,65,60,51,3,1
S5308,86,84,77,7,1
S5309,94,85,90,3,1
S5310,80,77,67,8,1
S5311,96,92,77,3,1
S5312,53,49,50,3,0
S5313,98,95,88,6,1
S5314,75,65,62,8,1
S5315,99,99,88,5,1
S5316,90,90,84,2,1
S5317,45,36,42,6,0
S5318,76,71,71,2,1
S5319,82,81,71,2,1
S5320,76,69,61,8,1
S5321,74,72,73,1,1
S5322,41,36,27,1,0
S5323,40,38,30,6,0
S5324,60,58,48,4,0
S5325,59,49,57,0,0
S5326,94,94,79,3,1
S5327,84,80,73,4,1
S5328,43,40,23,2,0
S5329,69,61,56,0,1
S5330,69,64,64,0,1
S5331,62,57,61,4,1
S5332,57,55,41,6,0
S5333,91,88,76,0,1
S5334,40,32,38,5,0
S5335,54,51,53,3,0
S5336,86,83,79,7,1
S5337,58,54,52,1,0
S5338,51,49,40,2,0
S5339,100,98,88,6,1
S5340,58,58,40,4,0
S5341,64,64,56,0,1
S5342,60,57,59,8,0
S5343,53,46,49,5,0
S5344,71,62,71,7,1
S5345,43,37,31,8,0
S5346,82,77,81,4,1
S5347,84,75,75,4,1
S5348,76,75,72,8,1
S5349,93,83,80,6,1
S5350,97,87,94,4,1
S5351,51,43,47,8,0
S5352,95,91,79,4,1
S5353,56,51,40,7,0
S5354,40,37,33,3,0
S5355,98,89,97,4,1
S5356,96,95,96,4,1
S5357,53,53,43,7,0
S5358,80,70,70,4,1
S5359,77,76,62,4,1
S5360,65,60,53,4,1
S5361,56,55,45,1,0
S5362,93,89,85,1,1
S5363,81,81,75,5,1
S5364,57,48,55,2,0
S5365,94,89,90,7,1
S5366,52,47,32,1,0
S5367,96,89,79,0,1
S5368,45,41,45,0,0
S5369,67,63,63,4,1
S5370,75,69,62,1,1
S5371,60,57,53,8,0
S5372,96,93,78,7,1
S5373,59,49,57,2,0
S5374,92,83,92,7,1
S5375,54,47,34,4,0
S5376,60,55,44,1,0
S5377,44,44,27,3,0
S5378,99,98,88,3,1
S5379,100,100,80,0,1
S5380,96,91,94,4,1
S5381,80,75,65,5,1
S5382,58,50,49,3,0
S5383,73,66,60,8,1
S5384,69,64,61,4,1
S5385,65,59,64,6,1
S5386,83,80,76,0,1
S5387,91,87,88,7,1
S5388,95,91,95,5,1
S5389,55,49,43,4,0
S5390,40,31,20,0,0
S5391,49,47,49,6,0
S5392,41,39,30,3,0
S5393,48,38,40,6,0
S5394,73,70,65,2,1
S5395,97,93,79,1,1
S5396,53,50,49,1,0
S5397,66,66,66,5,1
S5398,89,89,76,3,1
S5399,54,51,43,1,0
S5400,44,38,42,4,0
S5401,89,79,83,5,1
S5402,75,66,64,4,1
S5403,61,59,41,4,1
S5404,44,43,42,2,0
S5405,94,88,76,5,1
S5406,91,88,72,1,1
S5407,70,69,64,1,1
S5408,84,77,82,1,1
S5409,56,56,51,8,0
S5410,49,42,36,4,0
S5411,72,62,53,3,1
S5412,69,65,65,8,1
S5413,56,53,47,7,0
S5414,57,50,55,1,0
S5415,56,52,36,4,0
S5416,69,67,60,7,1
S5417,90,86,89,1,1
S5418,53,48,36,4,0
S5419,53,48,50,8,0
S5420,66,58,47,1,1
S5421,83,75,70,7,1
S5422,45,42,37,1,0
S5423,68,64,49,7,1
S5424,57,48,48,1,0
S5425,48,40,30,6,0
S5426,50,49,35,3,0
S5427,73,71,70,0,1
S5428,51,44,31,6,0
S5429,84,82,84,0,1
S5430,41,33,24,0,0
S5431,58,49,48,4,0
S5432,49,48,36,0,0
S5433,56,51,52,3,0
S5434,91,82,84,1,1
S5435,69,59,55,1,1
S5436,83,80,64,8,1
S5437,62,54,62,5,1
S5438,62,55,45,4,1
S5439,85,75,70,4,1
S5440,62,56,54,8,1
S5441,100,92,82,2,1
S5442,53,53,39,6,0
S5443,48,38,30,1,0
S5444,81,77,77,8,1
S5445,57,49,38,4,0
S5446,79,78,79,3,1
S5447,73,64,55,2,1
S5448,62,57,61,4,1
S5449,63,60,57,5,1
S5450,74,65,55,6,1
S5451,91,81,83,2,1
S5452,43,37,30,0,0
S5453,71,70,54,6,1
S5454,76,66,61,4,1
S5455,67,65,66,7,1
S5456,98,88,96,7,1
S5457,88,88,81,4,1
S5458,60,53,41,5,0
S5459,81,73,67,0,1
S5460,95,94,82,3,1
S5461,67,59,54,7,1
S5462,40,30,28,5,0
S5463,74,67,63,8,1
S5464,90,89,72,7,1
S5465,93,89,79,5,1
S5466,95,86,94,2,1
S5467,90,90,89,1,1
S5468,70,62,53,0,1
S5469,87,80,86,6,1
S5470,68,63,50,4,1
S5471,83,82,66,0,1
S5472,56,56,45,3,0
S5473,75,72,73,1,1
S5474,51,47,33,5,0
S5475,85,84,79,0,1
S5476,77,72,69,8,1
S5477,90,82,81,8,1
S5478,45,39,32,0,0
S5479,62,55,56,2,1
S5480,53,51,37,6,0
S5481,63,57,60,6,1
S5482,84,82,74,4,1
S5483,46,46,40,5,0
S5484,91,89,88,4,1
S5485,63,55,49,2,1
S5486,61,57,52,4,1
S5487,48,41,46,8,0
S5488,82,80,78,2,1
S5489,66,66,62,2,1
S5490,58,48,42,0,0
S5491,40,38,39,0,0
S5492,100,94,87,5,1
S5493,78,78,71,7,1
S5494,49,42,33,2,0
S5495,94,84,79,7,1
S5496,81,81,74,6,1
S5497,63,58,51,0,1
S5498,99,91,86,2,1
S5499,61,60,53,6,1
S5500,53,48,53,1,0
S5501,43,33,30,7,0
S5502,88,85,78,4,1
S5503,51,50,41,6,0
S5504,78,68,68,6,1
S5505,89,85,79,8,1
S5506,89,89,88,2,1
S5507,61,58,50,6,1
S5508,42,38,30,0,0
S5509,95,91,93,3,1
S5510,70,66,53,1,1
S5511,60,59,59,3,0
S5512,85,83,71,6,1
S5513,67,61,51,5,1
S5514,89,86,83,6,1
S5515,63,58,52,4,1
S5516,96,94,86,5,1
S5517,68,64,56,0,1
S5518,63,60,54,1,1
S5519,88,79,76,3,1
S5520,56,49,46,3,0
S5521,70,60,59,1,1
S5522,88,79,84,2,1
S5523,47,45,41,6,0
S5524,87,86,77,8,1
S5525,94,90,92,5,1
S5526,63,55,59,5,1
S5527,73,65,61,2,1
S5528,86,76,67,1,1
S5529,72,65,67,1,1
S5530,69,63,69,2,1
S5531,81,74,80,4,1
S5532,54,50,36,5,0
S5533,56,47,53,5,0
S5534,96,92,94,3,1
S5535,94,92,94,8,1
S5536,94,94,91,0,1
S5537,95,85,93,3,1
S5538,79,71,59,5,1
S5539,85,79,70,8,1
S5540,87,83,72,3,1
S5541,96,87,85,1,1
S5542,70,64,64,6,1
S5543,53,47,40,1,0
S5544,90,88,90,6,1
S5545,59,51,46,2,0
S5546,95,91,93,3,1
S5547,61,61,44,7,1
S5548,95,93,75,6,1
S5549,91,88,72,3,1
S5550,99,93,94,3,1
S5551,43,33,34,7,0
S5552,83,79,71,3,1
S5553,60,55,52,8,0
S5554,66,64,58,5,1
S5555,74,64,74,1,1
S5556,47,44,45,2,0
S5557,61,58,50,7,1
S5558,58,58,41,2,0
S5559,47,39,42,3,0
S5560,52,45,45,8,0
S5561,75,68,59,0,1
S5562,87,78,82,1,1
S5563,46,45,44,5,0
S5564,88,84,77,8,1
S5565,64,59,55,1,1
S5566,78,76,58,8,1
S5567,67,58,52,3,1
S5568,45,42,41,1,0
S5569,57,50,56,1,0
S5570,54,51,51,8,0
S5571,62,61,58,5,1
S5572,70,68,56,0,1
S5573,62,53,56,8,1
S5574,65,62,64,7,1
S5575,64,63,54,2,1
S5576,74,72,63,6,1
S5577,54,53,38,5,0
S5578,54,49,49,6,0
S5579,46,38,41,2,0
S5580,96,95,81,0,1
S5581,75,69,58,6,1
S5582,53,49,50,7,0
S5583,57,50,43,4,0
S5584,42,35,26,1,0
S5585,92,88,86,5,1
S5586,68,65,65,1,1
S5587,59,50,56,2,0
S5588,61,61,52,0,1
S5589,93,83,82,7,1
S5590,69,64,49,5,1
S5591,48,40,28,4,0
S5592,76,73,61,5,1
S5593,86,80,80,1,1
S5594,64,57,55,2,1
S5595,48,43,34,5,0
S5596,46,41,44,1,0
S5597,48,42,40,3,0
S5598,78,70,60,6,1
S5599,86,84,69,7,1
S5600,97,97,82,6,1
S5601,46,39,26,0,0
S5602,73,66,72,5,1
S5603,52,48,50,3,0
S5604,44,37,26,6,0
S5605,48,38,37,4,0
S5606,99,97,80,3,1
S5607,59,51,44,0,0
S5608,89,82,70,2,1
S5609,43,33,41,6,0
S5610,43,40,36,1,0
S5611,77,68,67,3,1
S5612,51,46,34,8,0
S5613,90,82,73,6,1
S5614,92,92,79,1,1
S5615,46,38,33,5,0
S5616,88,84,80,6,1
S5617,40,37,21,8,0
S5618,75,69,68,4,1
S5619,61,53,49,3,1
S5620,93,92,85,6,1
S5621,95,92,91,4,1
S5622,87,84,83,8,1
S5623,52,42,45,5,0
S5624,58,52,48,8,0
S5625,91,82,77,0,1
S5626,79,69,64,8,1
S5627,71,65,57,7,1
S5628,43,43,37,6,0
S5629,93,87,91,3,1
S5630,80,71,69,1,1
S5631,61,61,48,1,1
S5632,73,66,62,0,1
S5633,53,46,50,7,0
S5634,70,63,56,6,1
S5635,52,52,43,3,0
S5636,94,94,80,1,1
S5637,54,46,43,8,0
S5638,73,63,62,7,1
S5639,100,98,81,6,1
S5640,79,77,64,7,1
S5641,95,85,92,1,1
S5642,73,68,72,4,1
S5643,97,97,91,1,1
S5644,48,38,46,7,0
S5645,100,91,92,4,1
S5646,90,89,77,3,1
S5647,82,75,67,8,1
S5648,74,69,67,4,1
S5649,68,59,57,1,1
S5650,49,43,48,8,0
S5651,71,64,71,2,1
S5652,42,33,29,6,0
S5653,87,86,75,5,1
S5654,59,52,53,0,0
S5655,46,45,46,3,0
S5656,62,53,54,6,1
S5657,97,90,96,0,1
S5658,88,84,83,5,1
S5659,56,48,54,2,0
S5660,61,54,47,1,1
S5661,91,89,90,3,1
S5662,74,71,62,1,1
S5663,75,68,58,8,1
S5664,70,64,61,1,1
S5665,78,68,59,1,1
S5666,58,58,45,2,0
S5667,88,87,74,0,1
S5668,45,35,40,5,0
S5669,63,54,43,3,1
S5670,76,76,65,1,1
S5671,73,63,66,4,1
S5672,71,61,58,6,1
S5673,66,62,51,8,1
S5674,63,55,45,1,1
S5675,81,75,70,2,1
S5676,57,55,52,5,0
S5677,67,65,59,1,1
S5678,47,45,31,4,0
S5679,68,59,49,0,1
S5680,80,72,61,1,1
S5681,60,54,60,1,0
S5682,55,54,44,8,0
S5683,86,81,76,2,1
S5684,49,49,40,8,0
S5685,49,42,48,2,0
S5686,89,89,88,5,1
S5687,44,41,36,1,0
S5688,77,67,60,4,1
S5689,45,35,39,2,0
S5690,75,75,63,1,1
S5691,88,86,72,1,1
S5692,60,60,41,4,0
S5693,86,83,68,4,1
S5694,90,86,73,7,1
S5695,100,91,80,2,1
S5696,74,70,72,6,1
S5697,88,85,73,2,1
S5698,67,62,53,2,1
S5699,59,58,41,2,0
S5700,78,73,61,2,1
S5701,80,72,65,4,1
S5702,55,53,55,5,0
S5703,53,44,45,5,0
S5704,59,51,46,7,0
S5705,42,40,31,2,0
S5706,83,81,65,4,1
S5707,74,67,55,1,1
S5708,55,52,49,8,0
S5709,66,57,65,6,1
S5710,79,77,59,2,1
S5711,70,61,63,4,1
S5712,63,58,53,3,1
S5713,90,88,78,2,1
S5714,73,65,56,7,1
S5715,91,90,89,1,1
S5716,57,56,51,0,0
S5717,78,69,59,3,1
S5718,54,44,53,4,0
S5719,99,98,82,2,1
S5720,98,90,88,0,1
S5721,100,96,97,6,1
S5722,78,69,63,4,1
S5723,77,71,58,3,1
S5724,87,81,71,1,1
S5725,58,58,56,7,0
S5726,88,85,83,3,1
S5727,92,92,91,7,1
S5728,64,61,55,7,1
S5729,87,81,84,2,1
S5730,59,54,54,7,0
S5731,86,86,83,6,1
S5732,70,62,61,1,1
S5733,42,41,37,0,0
S5734,61,53,57,2,1
S5735,48,47,40,1,0
S5736,61,60,47,7,1
S5737,96,92,88,6,1
S5738,48,38,42,3,0
S5739,50,42,40,4,0
S5740,55,45,44,6,0
S5741,40,38,38,3,0
S5742,47,42,28,4,0
S5743,99,98,91,4,1
S5744,81,79,65,6,1
S5745,50,49,47,8,0
S5746,73,72,66,2,1
S5747,60,51,55,6,0
S5748,91,89,73,4,1
S5749,64,58,51,4,1
S5750,98,93,79,2,1
S5751,56,52,39,8,0
S5752,66,63,52,1,1
S5753,59,52,50,0,0
S5754,75,71,59,8,1
S5755,64,58,54,1,1
S5756,42,38,24,8,0
S5757,43,33,42,7,0
S5758,67,58,48,2,1
S5759,56,49,44,3,0
S5760,62,56,58,2,1
S5761,61,61,51,0,1
S5762,63,59,61,4,1
S5763,90,82,90,4,1
S5764,51,48,33,5,0
S5765,77,75,65,3,1
S5766,62,54,44,8,1
S5767,70,70,60,3,1
S5768,44,35,28,8,0
S5769,76,69,61,8,1
S5770,44,39,36,1,0
S5771,70,70,54,2,1
S5772,92,91,84,4,1
S5773,79,78,63,4,1
S5774,87,83,67,3,1
S5775,66,65,66,0,1
S5776,96,87,79,7,1
S5777,75,75,65,6,1
S5778,79,75,60,3,1
S5779,75,69,71,7,1
S5780,80,75,72,5,1
S5781,97,94,97,4,1
S5782,54,54,48,7,0
S5783,74,69,68,6,1
S5784,93,92,89,6,1
S5785,78,77,63,2,1
S5786,89,80,72,1,1
S5787,67,64,48,6,1
S5788,42,34,32,0,0
S5789,80,76,74,2,1
S5790,86,78,73,2,1
S5791,66,62,61,0,1
S5792,74,68,63,0,1
S5793,41,39,39,2,0
S5794,95,85,95,0,1
S5795,98,96,95,5,1
S5796,66,57,47,3,1
S5797,72,65,52,6,1
S5798,75,67,69,1,1
S5799,49,44,39,3,0
S5800,96,92,91,4,1
S5801,56,53,48,6,0
S5802,51,49,31,0,0
S5803,55,52,39,8,0
S5804,43,41,30,8,0
S5805,77,67,65,3,1
S5806,98,94,98,1,1
S5807,94,93,84,5,1
S5808,50,48,33,5,0
S5809,90,88,76,6,1
S5810,92,82,73,0,1
S5811,64,54,48,6,1
S5812,44,35,41,3,0
S5813,47,40,27,2,0
S5814,93,93,79,5,1
S5815,70,66,62,7,1
S5816,99,91,98,4,1
S5817,63,62,48,0,1
S5818,46,42,39,1,0
S5819,95,94,75,4,1
S5820,42,32,28,0,0
S5821,96,95,96,6,1
S5822,44,38,36,1,0
S5823,41,40,22,3,0
S5824,72,63,59,0,1
S5825,80,71,68,2,1
S5826,73,63,69,0,1
S5827,57,55,57,5,0
S5828,96,91,88,0,1
S5829,100,96,93,5,1
S5830,48,43,42,1,0
S5831,80,79,75,1,1
S5832,64,64,52,2,1
S5833,67,66,49,3,1
S5834,59,54,43,2,0
S5835,74,70,71,4,1
S5836,54,53,42,6,0
S5837,46,45,38,7,0
S5838,67,62,67,6,1
S5839,42,42,35,1,0
S5840,44,35,26,4,0
S5841,88,80,76,1,1
S5842,41,41,41,6,0
S5843,66,56,55,8,1
S5844,46,42,41,1,0
S5845,58,50,44,1,0
S5846,83,77,83,6,1
S5847,40,31,27,6,0
S5848,95,95,93,1,1
S5849,61,54,43,3,1
S5850,58,52,56,2,0
S5851,59,52,42,0,0
S5852,97,95,82,1,1
S5853,77,74,64,7,1
S5854,54,45,40,2,0
S5855,41,41,36,2,0
S5856,85,85,76,1,1
S5857,95,87,84,6,1
S5858,48,38,41,4,0
S5859,96,94,76,4,1
S5860,62,61,43,5,1
S5861,47,41,40,2,0
S5862,75,65,59,2,1
S5863,85,84,81,0,1
S5864,78,69,76,3,1
S5865,53,52,36,2,0
S5866,64,56,48,4,1
S5867,66,58,52,2,1
S5868,99,97,98,0,1
S5869,98,97,90,5,1
S5870,43,35,24,1,0
S5871,100,95,91,1,1
S5872,55,46,55,0,0
S5873,83,83,67,5,1
S5874,61,59,45,7,1
S5875,68,59,52,2,1
S5876,88,84,76,7,1
S5877,74,69,66,0,1
S5878,71,64,69,2,1
S5879,53,45,49,2,0
S5880,79,72,69,0,1
S5881,100,93,98,1,1
S5882,57,56,43,1,0
S5883,68,59,66,7,1
S5884,68,59,60,8,1
S5885,69,59,67,3,1
S5886,41,33,37,2,0
S5887,59,57,55,8,0
S5888,91,91,82,7,1
S5889,96,86,90,0,1
S5890,84,76,80,6,1
S5891,90,87,89,1,1
S5892,74,68,56,4,1
S5893,53,46,37,1,0
S5894,54,48,47,5,0
S5895,84,78,72,1,1
S5896,52,48,47,8,0
S5897,89,85,82,6,1
S5898,95,91,92,5,1
S5899,81,80,80,0,1
S5900,96,94,84,0,1
S5901,50,48,37,3,0
S5902,42,38,38,2,0
S5903,62,52,52,4,1
S5904,93,86,85,7,1
S5905,66,61,58,2,1
S5906,76,67,76,6,1
S5907,41,36,32,0,0
S5908,70,70,61,8,1
S5909,66,60,66,5,1
S5910,63,62,57,2,1
S5911,41,41,39,0,0
S5912,58,55,42,6,0
S5913,97,93,90,2,1
S5914,75,73,63,3,1
S5915,78,72,71,7,1
S5916,86,82,77,4,1
S5917,64,63,45,1,1
S5918,86,83,70,2,1
S5919,100,92,88,4,1
S5920,53,52,45,3,0
S5921,72,67,67,8,1
S5922,100,91,88,1,1
S5923,92,91,87,7,1
S5924,43,33,34,7,0
S5925,46,37,34,3,0
S5926,47,47,27,7,0
S5927,58,53,42,4,0
S5928,88,83,86,7,1
S5929,70,67,58,7,1
S5930,90,85,83,1,1
S5931,59,53,56,7,0
S5932,52,43,41,8,0
S5933,88,87,80,2,1
S5934,93,91,79,7,1
S5935,62,55,53,1,1
